,image,class,location
0,0.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/0.jpg
1,10006.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10006.jpg
2,1001.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/1001.jpg
3,10014.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10014.jpg
4,10018.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10018.jpg
5,10029.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10029.jpg
6,10032.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10032.jpg
7,10056.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10056.jpg
8,1009.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/1009.jpg
9,10113.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10113.jpg
10,1012.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/1012.jpg
11,10126.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10126.jpg
12,10144.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10144.jpg
13,10151.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10151.jpg
14,10161.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10161.jpg
15,10165.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10165.jpg
16,10176.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10176.jpg
17,10184.jpg,0,C:/Users/nqh/Desktop/im_clas/venv/torch-image-classification/seg_train/seg_train/buildings/10184.jpg
